SampleID	Group
856CEnd	WT_PBS
857CEnd	WT_PBS
858CEnd	WT_PBS
861CEnd	WT_PBS
862CEnd	WT_PBS
863CEnd	WT_PBS
851CEnd	WT_Suc
853CEnd	WT_Suc
854CEnd	WT_Suc
855CEnd	WT_Suc
868CEnd	WT_Suc
869CEnd	WT_Suc
876CEnd	KO_PBS
878CEnd	KO_PBS
880CEnd	KO_PBS
881CEnd	KO_PBS
882CEnd	KO_PBS
883CEnd	KO_Suc
884CEnd	KO_Suc
885CEnd	KO_Suc
886CEnd	KO_Suc
887CEnd	KO_Suc
888CEnd	KO_Suc
889CEnd	KO_Suc
